question_id,prompt_strategy,model,model_answer,raw_response,response_time,tokens_used,timestamp,correct_answer,score,result_id,correct
MIR-2024-v01-t01-Q026,Prompt-001,gpt-4,B,B,1.0191776752471924,228,2025-03-10T18:44:45.112874,B,3,MIR-2024-v01-t01-Q026-RespB-CorrectB-Score+3,True
MIR-2024-v01-t01-Q027,Prompt-001,gpt-4,C,C,0.7878317832946777,179,2025-03-10T18:44:46.402059,C,3,MIR-2024-v01-t01-Q027-RespC-CorrectC-Score+3,True
MIR-2024-v01-t01-Q026,Prompt-001,o3-mini-2025-01-31,B,B,4.099188566207886,252,2025-03-17T22:44:25.241725,B,3,MIR-2024-v01-t01-Q026-RespB-CorrectB-Score+3,True
MIR-2024-v01-t01-Q027,Prompt-001,o3-mini-2025-01-31,C,C,7.803445100784302,202,2025-03-17T22:44:33.546092,C,3,MIR-2024-v01-t01-Q027-RespC-CorrectC-Score+3,True
MIR-2024-v01-t01-Q028,Prompt-001,o3-mini-2025-01-31,A,A,7.470572471618652,200,2025-03-17T22:44:41.517657,A,3,MIR-2024-v01-t01-Q028-RespA-CorrectA-Score+3,True
MIR-2024-v01-t01-Q029,Prompt-001,o3-mini-2025-01-31,B,B,2.502437114715576,206,2025-03-17T22:44:44.521177,B,3,MIR-2024-v01-t01-Q029-RespB-CorrectB-Score+3,True
MIR-2024-v01-t01-Q030,Prompt-001,o3-mini-2025-01-31,C,C,2.4143283367156982,218,2025-03-17T22:44:47.436437,C,3,MIR-2024-v01-t01-Q030-RespC-CorrectC-Score+3,True
MIR-2024-v01-t01-Q031,Prompt-001,o3-mini-2025-01-31,D,D,3.808162212371826,234,2025-03-17T22:44:51.745575,D,3,MIR-2024-v01-t01-Q031-RespD-CorrectD-Score+3,True
MIR-2024-v01-t01-Q032,Prompt-001,o3-mini-2025-01-31,A,A,2.36967134475708,192,2025-03-17T22:44:54.616169,A,3,MIR-2024-v01-t01-Q032-RespA-CorrectA-Score+3,True
MIR-2024-v01-t01-Q033,Prompt-001,o3-mini-2025-01-31,C,C,1.5700547695159912,156,2025-03-17T22:44:56.687259,C,3,MIR-2024-v01-t01-Q033-RespC-CorrectC-Score+3,True
MIR-2024-v01-t01-Q034,Prompt-001,o3-mini-2025-01-31,D,D,1.7490565776824951,170,2025-03-17T22:44:58.937378,B,-1,MIR-2024-v01-t01-Q034-RespD-CorrectB-Score-1,False
MIR-2024-v01-t01-Q035,Prompt-001,o3-mini-2025-01-31,D,D,1.7914154529571533,230,2025-03-17T22:45:01.229946,D,3,MIR-2024-v01-t01-Q035-RespD-CorrectD-Score+3,True
MIR-2024-v01-t01-Q036,Prompt-001,o3-mini-2025-01-31,D,D,1.7327005863189697,235,2025-03-17T22:45:03.463591,D,3,MIR-2024-v01-t01-Q036-RespD-CorrectD-Score+3,True
MIR-2024-v01-t01-Q037,Prompt-001,o3-mini-2025-01-31,A,A,2.5185697078704834,244,2025-03-17T22:45:06.483162,A,3,MIR-2024-v01-t01-Q037-RespA-CorrectA-Score+3,True
MIR-2024-v01-t01-Q038,Prompt-001,o3-mini-2025-01-31,A,A,6.4554502964019775,219,2025-03-17T22:45:13.440022,A,3,MIR-2024-v01-t01-Q038-RespA-CorrectA-Score+3,True
MIR-2024-v01-t01-Q039,Prompt-001,o3-mini-2025-01-31,C,C,1.8396189212799072,221,2025-03-17T22:45:15.780659,C,3,MIR-2024-v01-t01-Q039-RespC-CorrectC-Score+3,True
MIR-2024-v01-t01-Q040,Prompt-001,o3-mini-2025-01-31,B,B,1.700718879699707,193,2025-03-17T22:45:17.982368,B,3,MIR-2024-v01-t01-Q040-RespB-CorrectB-Score+3,True
MIR-2024-v01-t01-Q041,Prompt-001,o3-mini-2025-01-31,C,C,2.4410316944122314,222,2025-03-17T22:45:20.924351,C,3,MIR-2024-v01-t01-Q041-RespC-CorrectC-Score+3,True
