question_id,prompt_strategy,model,model_answer,raw_response,response_time,tokens_used,timestamp,correct_answer,score,result_id
MIR-2024-v01-t01-Q027,Prompt-001,o3-mini-2025-01-31,C,C,4.820611000061035,146,2025-03-26T22:24:46.344224,C,3,MIR-2024-v01-t01-Q027-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q029,Prompt-001,o3-mini-2025-01-31,D,D,3.0493292808532715,197,2025-03-26T22:24:49.894770,D,3,MIR-2024-v01-t01-Q029-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q030,Prompt-001,o3-mini-2025-01-31,B,B,6.443737745285034,265,2025-03-26T22:24:56.839540,B,3,MIR-2024-v01-t01-Q030-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q031,Prompt-001,o3-mini-2025-01-31,D,D,3.097322940826416,232,2025-03-26T22:25:00.438236,D,3,MIR-2024-v01-t01-Q031-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q032,Prompt-001,o3-mini-2025-01-31,A,A,2.254538059234619,179,2025-03-26T22:25:03.193768,A,3,MIR-2024-v01-t01-Q032-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q027,Prompt-001,o3-mini-2025-01-31,C,C,6.463242769241333,146,2025-03-31T21:50:38.117762,C,3,MIR-2024-v01-t01-Q027-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q029,Prompt-001,o3-mini-2025-01-31,D,D,4.836135149002075,197,2025-03-31T21:50:43.454903,D,3,MIR-2024-v01-t01-Q029-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q030,Prompt-001,o3-mini-2025-01-31,B,B,5.681490659713745,265,2025-03-31T21:50:49.637365,B,3,MIR-2024-v01-t01-Q030-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q031,Prompt-001,o3-mini-2025-01-31,D,D,4.303833484649658,232,2025-03-31T21:50:54.442225,D,3,MIR-2024-v01-t01-Q031-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q032,Prompt-001,o3-mini-2025-01-31,A,A,3.5131676197052,179,2025-03-31T21:50:58.456329,A,3,MIR-2024-v01-t01-Q032-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q033,Prompt-001,o3-mini-2025-01-31,D,D,6.541834354400635,157,2025-03-31T21:51:05.499068,D,3,MIR-2024-v01-t01-Q033-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q034,Prompt-001,o3-mini-2025-01-31,D,D,3.086049795150757,193,2025-03-31T21:51:09.086094,D,3,MIR-2024-v01-t01-Q034-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q035,Prompt-001,o3-mini-2025-01-31,B,B,2.062225580215454,200,2025-03-31T21:51:11.649282,B,3,MIR-2024-v01-t01-Q035-RespB-CorrectB-Score+3
